position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Lantråd,Roger Nordlund,Q713308,1999-12-03,2007-11-26,male,1957-11-19,,"Roger Nordlund, alands landskapsregering.jpg",Roger Nordlund
Lantråd,Viveka Eriksson,Q451038,2007-11-26,2011-11-25,female,1956-08-18,,Viveka Eriksson.jpg,Viveka Eriksson
Lantråd,Camilla Gunell,Q2270164,2011-11-25,2015-11-25,female,1970-09-07,,Nordiska radets session i Helsingfors (7).jpg,Camilla Gunell
Lantråd,Veronica Thörnroos,Q4982779,2019-11-25,,female,1962-07-16,,Veronica Thörnroos.jpg,Veronica Thörnroos
Vice lantråd,Harry Jansson,Q2160820,2019-12-10,,male,1959-10-04,,Harry Jansson BSPC 19 Mariehamn aland (cropped).jpg,
Minister of Development,Alfons Röblom,Q6086545,2019-12-10,,male,1983-08-03,,Alfon Röblom.jpg,
Minister of Education and Culture,Annika Hambrudd,Q85686346,2019-12-10,,female,1972,,,
Minister of Finance,Jörgen Strand,Q4354530,2003,2005,male,1962-03-15,,,Jörgen Strand
Minister of Finance,Roger Höglund,Q107724895,2019-12-10,,male,1964-06-22,,,
Minister for Industry and Trade,Fredrik Karlström,Q3371504,2019-12-10,,male,1973-05-18,,"Fredrik Karlstrom, alands delegation till Nordiska radet, talar vid sessionen i Stockholm 2009.jpg",
Minister for Infrastructure,Christian Wikström,Q85686737,2019-12-10,,male,1987-02-10,,,
Minister for Social Affairs and Health,Annette Holmberg-Jansson,Q43861413,2019-12-10,,female,1969-03-11,,,Annette Holmberg-Jansson
Speaker of the Parliament,Roger Nordlund,Q713308,2007,2011,male,1957-11-19,,"Roger Nordlund, alands landskapsregering.jpg",Roger Nordlund
Speaker of the Parliament,Roger Nordlund,Q713308,2019-11-04,2020-11-02,male,1957-11-19,,"Roger Nordlund, alands landskapsregering.jpg",Roger Nordlund
Speaker of the Parliament,Bert Häggblom,Q101094690,2020-11-02,,male,1957-02-24,,,
